country,continent,year,life_exp,hdi_index,co2_consump,gdp,services
Honduras,North America,2000,70.1,0.566,0.751,1790,41.8
"Hong Kong, China",Asia,2000,80.4,0.83,6.1,26900,79.4
Hungary,Europe,2000,71.9,0.772,5.73,8970,59.8
Iceland,Europe,2000,80.3,0.867,10.5,42200,69.2
India,Asia,2000,62.9,0.495,0.975,758,24
Indonesia,Asia,2000,67.2,0.603,1.26,1870,37.3
Iran,Asia,2000,71.9,0.658,5.63,3890,45.6
Iraq,Asia,2000,68.6,0.595,3.05,4340,50.6
Ireland,Europe,2000,76.8,0.867,12,41600,63.6
Israel,Asia,2000,78.9,0.861,10,30000,75.2
Italy,Europe,2000,79.6,0.838,8.3,32300,63
Jamaica,North America,2000,74.6,0.678,3.89,4840,62.2
Japan,Asia,2000,81.6,0.858,9.93,31400,63.5
Jordan,Asia,2000,72.9,0.711,2.97,3590,74.9
Kazakhstan,Asia,2000,64.7,0.685,8.95,4450,47.3
Kenya,Africa,2000,54.8,0.461,0.323,1000,39.7
Kuwait,Asia,2000,78.1,0.781,26.1,30000,75.6
Kyrgyz Republic,Asia,2000,67.2,0.62,0.936,718,36.5
Lao,Asia,2000,58.4,0.471,0.18,933,13.6
Latvia,Europe,2000,70.7,0.735,2.97,6660,58.3
Lebanon,Asia,2000,74.8,,4.03,6740,56.8
Lesotho,Africa,2000,48.5,0.459,0.911,715,28.5
Liberia,Africa,2000,54.8,0.435,0.148,764,37.4
Libya,Africa,2000,74.9,0.78,8.74,6590,46.5
Lithuania,Europe,2000,72.2,0.762,3.37,6420,54
Luxembourg,Europe,2000,78,0.86,20,88000,76.8
Madagascar,Africa,2000,59.5,0.462,0.119,488,14.7
Malawi,Africa,2000,45.9,0.388,0.0776,294,13
Malaysia,Asia,2000,73,0.723,5.46,6390,49.5
Maldives,Asia,2000,72.2,0.622,1.61,6980,55
Mali,Africa,2000,53.3,0.312,0.076,572,19.3
Malta,Europe,2000,78.8,0.795,6.42,17200,65.2
Mauritania,Africa,2000,63.6,0.464,0.424,1300,40.8
Mauritius,Africa,2000,72.3,0.678,2.27,5530,49.3
Mexico,North America,2000,74.2,0.708,4.01,8860,55.5
Moldova,Europe,2000,68.9,0.643,0.851,1340,35.1
Mongolia,Asia,2000,61,0.588,3.13,1610,37.2
Montenegro,Europe,2000,73.7,,2.48,4430,65.1
Morocco,Africa,2000,69.5,0.529,1.17,1980,34.8
Mozambique,Africa,2000,52.2,0.307,0.0747,295,14.8
Myanmar,Asia,2000,58.9,0.414,0.215,293,26
Namibia,Africa,2000,53.9,0.544,0.915,3120,56.4
Nepal,Asia,2000,65.4,0.453,0.127,562,14.2
Netherlands,Europe,2000,78.3,0.882,10.8,40400,75.1
New Zealand,Oceania,2000,78.4,0.876,8.38,30900,68
Nicaragua,North America,2000,73.7,0.577,0.735,1440,50.1
Niger,Africa,2000,51.9,0.262,0.0612,399,15
Nigeria,Africa,2000,54.6,,0.645,1450,38.9
North Macedonia,Europe,2000,71.5,0.677,5.93,3270,40.7
Norway,Europe,2000,78.9,0.915,9.46,67400,73.9
Oman,Asia,2000,69.1,0.693,9.5,18000,82.4
Pakistan,Asia,2000,61,0.447,0.741,1030,36.1
Palestine,Asia,2000,70.2,,0.515,2440,51.8
Panama,North America,2000,78,0.735,1.89,6960,65.7
Papua New Guinea,Oceania,2000,63.1,0.45,0.456,1880,23
Paraguay,South America,2000,75.6,0.643,0.678,3900,49.6
Peru,South America,2000,74.6,0.679,1.14,3300,50.6
Philippines,Asia,2000,70.3,0.632,0.928,1830,47
Poland,Europe,2000,73.9,0.79,8.26,7360,50.3
Portugal,Europe,2000,76.8,0.792,6.43,18800,52.9
Qatar,Asia,2000,71.2,0.816,58.4,56900,60.4
Romania,Europe,2000,71.2,0.716,4.31,4550,29
Russia,Europe,2000,65.6,0.722,10.1,6490,56.3
Rwanda,Africa,2000,50.5,0.341,0.0656,345,8.89
Samoa,Oceania,2000,68.5,0.651,0.82,3270,38.5
Sao Tome and Principe,Africa,2000,65,0.498,0.335,4252,50.1
Saudi Arabia,Asia,2000,70.4,0.743,14.4,17700,74
Senegal,Africa,2000,60.6,0.39,0.389,1070,41.3
Serbia,Europe,2000,71.4,0.716,4.74,3190,46.2
Sierra Leone,Africa,2000,51.6,0.295,0.0848,403,23.4
Singapore,Asia,2000,79.4,0.821,12.1,34900,71.9
Slovak Republic,Europe,2000,73.7,0.765,7.64,8910,55.8
Slovenia,Europe,2000,76.3,0.832,7.78,16200,52.7
Solomon Islands,Oceania,2000,57,0.475,0.373,1940,43.4
South Africa,Africa,2000,55.6,0.631,8.42,4510,62.8
South Korea,Asia,2000,76.3,0.823,9.41,17000,61.3
South Sudan,Africa,2000,57,,0.0744,2555,18.9
Spain,Europe,2000,79.5,0.832,7.62,23900,62.5
Sri Lanka,Asia,2000,71.5,0.691,0.54,1920,35.4
St. Lucia,North America,2000,73.4,0.695,2.22,9330,58.4
St. Vincent and the Grenadines,North America,2000,71.1,0.681,1.36,5000,62.7
Sudan,Africa,2000,63.3,0.403,0.185,1020,37.1
Suriname,South America,2000,69.8,,4.66,6200,68.6
Sweden,Europe,2000,80,0.903,6.16,41100,72.7
Switzerland,Europe,2000,80.3,0.898,6.11,74000,70.1
Tajikistan,Asia,2000,66.6,0.555,0.359,434,24
Tanzania,Africa,2000,53.4,0.39,0.0768,522,14.2
Thailand,Asia,2000,71.8,0.652,2.71,3520,32.2
Timor-Leste,Asia,2000,65.5,0.484,,941,33.2
Togo,Africa,2000,56.4,0.427,0.271,506,37.8
Tonga,Oceania,2000,70.7,0.675,0.973,3670,36.2
Trinidad and Tobago,North America,2000,70.5,0.717,18.8,10600,64.7
Tunisia,Africa,2000,74.3,0.651,2.03,2690,48
Turkey,Asia,2000,74.7,0.66,3.64,6540,45.1
Turkmenistan,Asia,2000,66.3,,8.3,2290,31
Uganda,Africa,2000,49.6,0.404,0.0593,515,22.2
Ukraine,Europe,2000,68,0.694,5.85,1820,49
United Arab Emirates,Asia,2000,69.1,0.782,35.7,60800,58.7
United Kingdom,Europe,2000,78,0.874,9.63,38500,73.3
United States,North America,2000,77,0.886,21.3,48700,73.9
Uruguay,South America,2000,74.8,0.743,1.59,10100,65.8
Uzbekistan,Asia,2000,65.1,0.599,4.91,1200,39.5
Vanuatu,Oceania,2000,63.6,,0.456,2840,30.9
Vietnam,Asia,2000,72.2,0.586,0.655,957,22.3
Yemen,Asia,2000,63.5,0.444,0.832,2380,44.8
Zambia,Africa,2000,45.3,0.425,0.172,774,22.2
Zimbabwe,Africa,2000,47.5,0.43,1.16,1700,27.8
